"","SRR3216048","SRR3216049","SRR3216051","SRR3216052","SRR3216053","SRR3216054","SRR3216055","SRR3216056"
"FGF18",6.44829637543249,6.40604090422212,6.16244440794481,5.68862430981282,6.60597130796698,6.13531691026764,5.83279676589005,6.32126161745429
"PCDH1",9.75913852534437,11.0421699807206,10.2935946387242,10.8662617722738,10.420490941554,10.1476487583973,10.396539943383,10.3782380278304
"SH3RF2",6.71927002596877,7.85088282780339,8.17233032066614,8.74766379325471,7.16834337707529,6.4129064482647,7.48875976449619,8.07666692574312
"UQCRB",10.2147380087489,10.2352787818312,9.93430569405623,10.2904823214093,10.3263722483483,10.0584720893561,10.2199335952857,10.4209519311218
"MTERF3",7.50528670781431,7.46006804339676,7.4423226387781,7.54780883638296,7.42545226223545,7.72097612813256,7.4036333033349,7.58672415163439
"PTDSS1",8.87731160600056,8.93303404829014,8.69860912284046,9.09172853422683,8.8429522488161,8.82069488066021,8.94010845700088,8.98031524676695
"PPP2R2B",5.1871137687839,4.60313499209026,5.44233234376012,5.08000002189057,4.44626023015541,5.05874158530522,4.83049851848729,5.10242096294115
"RPL30",12.1407449081407,11.7728876346198,11.449971472078,11.7352024329407,12.1793273654939,12.2049180096363,11.9830719717834,12.0879009961563
"KCNS2",7.49121264082235,6.98543363830256,7.71588830586058,7.5144354707941,6.83904224176881,7.10018670007499,7.32023051936949,7.15833142088799
"PABIR3",6.06840807309522,6.06401769005733,6.75264636652182,6.19717257976099,6.21545845776562,5.91901079124778,6.28440855543618,6.25236649740097
"SUPV3L1",8.2800440627327,8.06842284326319,7.75547124400626,8.11228008341341,8.10701263244376,8.06655795211349,8.23751673637656,7.95222500254203
"PABIR2",7.90015812488052,8.07452504695238,8.25725317484958,8.1288377214967,8.2977023778407,8.07747962664118,8.12001403841774,8.21731663305516
"EEF1A1",16.8993180382064,16.8243300396268,16.3564062870783,16.7364620780569,16.8595518438679,16.9393053257818,16.7843259639209,16.8576338844519
"HKDC1",7.97761204434582,8.39995996859142,7.65855607478534,7.28588277936705,7.92717458728834,7.9103214548163,7.74401542884625,7.41549397067944
"HK1",10.2811240925023,10.5132916047162,9.94285198691017,10.1152571276655,10.2923069558202,10.4462013567099,10.2046712851283,10.18248998907
"TYSND1",7.58691942194827,7.74754266379744,7.92461101738347,8.12333975160064,7.71374028346854,7.46958658652561,7.44355929761289,7.5319128411801
"PHF6",9.28602174062985,9.23957045380369,9.12569838312008,9.19987059752947,9.34229183781712,9.11833873312074,9.19902701467607,9.65715140589235
"CD109",8.94805005824361,8.34556341058886,8.60248538994476,7.92893206499638,8.16972160835472,8.71302823416308,8.68601066096254,7.76345889537027
"UBE2L6",10.3922967149929,9.60361164485113,8.92275915469714,9.18941456607094,9.86614067518278,10.1070722648077,9.57651934024551,9.64918684655956
"ZDHHC5",10.4752723226629,10.5916793584045,10.1983139860614,10.5574963540672,10.6480330956972,10.3144426915157,10.5425248070659,10.3964273207836
"MED19",7.46983599699882,7.46006804339676,7.09042043805618,7.19361506049465,7.52527414778377,7.67845239907032,7.68989408052327,7.34553897345416
"ZFAND3",8.62557021343715,8.71659185620795,8.61967100573495,8.6556327685025,8.7677170402664,8.59284988390455,8.44706774583336,8.58841675244305
"NPTN",9.80499308137669,10.2514681338375,10.1430217323993,10.6093659309748,9.84017280080576,9.63363442403277,9.91343067813494,10.6536537120061
"KAT6B",9.99252751330266,9.97585797934456,10.5633629272804,10.3654963298488,9.96877262398199,9.85375473289686,10.0381466155275,10.1319598284322
"SAMD8",9.27587722751082,8.7997826130602,9.26314415020727,8.81045944823145,9.48992609029861,8.95374482774933,9.354132330203,9.18818460353795
"RAB11FIP1",11.4356250900896,11.796522572057,11.555692493814,11.5362367226389,12.1273241023426,11.677862459507,11.866100241908,11.6453941338514
"UTP14A",8.59321803365384,8.29947039010595,7.78636458698675,8.12333975160064,8.44312293011625,8.77122780540671,8.46322416021099,8.35327294374598
"AIFM1",8.76276934749821,9.03951870699158,8.60680109637653,9.27842964116422,8.49295710773445,8.28005778954366,8.33561695347393,8.8445040943844
"MAPK13",9.13480934784549,9.56309799586479,9.15248850801684,9.57596456155378,9.88489085677349,9.55014708473439,9.63890041704346,9.16154479648538
"BAG4",9.03726492482307,9.17592499272299,8.99033521975442,8.80704179423981,9.01699096864719,9.03140900121239,9.17963065852909,9.06900868523995
"MS4A1",4.64242625708983,4.60313499209026,4.45488492573778,4.8758454695616,5.16129524289245,5.99531804679725,4.99472701091822,5.19580343254775
"TBC1D31",7.46263817653978,7.03701343339837,6.87461207406741,7.03682532813456,7.19073069350097,7.0449481948926,7.13697606915261,7.00455736447375
"NTAQ1",7.50528670781431,7.39289470405659,6.98669363954937,7.89702671875689,7.15701438414101,7.11097737605491,7.43698269646729,7.29689985278554
"ATAD2",9.04445582651931,8.85739933756263,8.82988161609839,10.3361941018432,8.39626760896144,8.64506645737156,8.89560984759109,9.63312447465814
"FBXO32",10.582808843064,9.68733901336745,8.79628208965191,8.80361600166565,10.8261232105712,9.91873215365614,10.7862611131258,9.54658636928733
"NSMCE2",7.51227169900897,7.64437253039654,7.47122417589818,7.69643180622846,7.48077025832817,7.51065595513455,7.73869489784567,7.8498290116584
"ZNF689",7.57363579880014,7.54200217788019,7.13953355667193,7.52285269734339,7.54269193644152,7.35687279636985,7.33447753950975,7.64596018794586
"PRR14",7.68894300278801,7.94724333412749,7.83148485051486,7.48887981060159,8.01059790694215,7.87315450507068,7.69539971868309,7.71516199583027
"FBRS",9.03726492482307,9.35400794990448,9.07680499171814,9.10291557596257,9.42617042564854,9.10509714254954,8.85459436231007,9.07139605868375
"FRRS1",8.17013313676088,8.44768396551864,8.54966000164093,8.74766379325471,8.04143108140173,8.26581877252126,8.14429815291789,8.79911277505769
"PHKG2",7.91073111720681,7.89987552813864,7.76325757358595,7.90346504903738,7.78849013320451,7.81552438598416,7.53256324451379,7.83861067421632
"MFSD14A",9.31603357956913,9.35150554154516,9.14064326992884,9.35292520978902,9.46067564179435,9.50450199103582,9.47359782496698,9.44902283499043
"SASS6",6.94535844271386,6.99850863409932,6.83012888835274,6.83297872864259,7.06292598369342,6.82570633320389,6.92609497560784,7.15833142088799
"ITGAD",7.73733678905479,7.12293327226064,8.13090893472609,7.21464834489192,7.02594426042231,7.48615740138902,7.80126680945306,8.01330934150702
"MALSU1",7.60007998500007,7.65257969527309,7.37249792146279,7.54780883638296,7.77385050477553,7.789144317396,7.78587940581871,7.67783324475053
"VPS8",9.78654021587814,9.86447223489403,10.0715643641712,10.303864341637,9.85234937010086,9.86007077016571,9.83753125045846,10.1193339430212
"GALK2",8.697327995981,8.68112186816149,8.79628208965191,8.78983066201168,8.74920861482096,8.69898500660109,8.64129493752321,8.58172714980394
"B3GNT7",8.80008443018242,8.92295132765163,7.57242393404725,6.71855646034041,8.74920861482096,9.46360037471207,8.96752012320592,7.76938252136624
"MPV17L",6.16498278411082,5.95504133810757,5.82339262677945,5.68862430981282,6.2818787859568,6.46549951610693,6.40094707025681,6.28726559838583
"BUB1B",6.66922584287402,6.30166202023583,6.00434522940517,6.12935270098458,6.0195893535231,6.06724509049876,6.50810067176115,6.28726559838583
"PDE6D",7.05559750398251,7.3326631197724,6.85994279338385,7.03682532813456,7.08704759888998,7.22449754352069,7.16922609074931,7.08355678015823
"EIF4A2",12.7374362526775,12.6582571668304,12.4666818003491,12.5943875252922,12.7304971636244,12.6677412840523,12.7398110574983,12.6297322666976
"BRPF1",8.36305229355428,8.53862241270039,8.59815668558464,8.5033855038676,8.51504975625645,8.6487246238055,8.49185543102181,8.49536824870353
"RPUSD3",7.68277647271598,7.18122949854427,7.64174204640902,7.66640755628532,7.79575396691712,7.40129343018419,7.56906191522465,7.54581534130481
"TATDN2",8.99829480205751,9.07333241322441,9.05172128274353,8.90299935557935,9.51640948914352,9.12097250226566,8.9168597297277,8.97522388623884
"SEC13",9.95996460802921,10.0409551392042,9.60441937663906,10.5256626350673,9.76671059072737,9.92326324048738,9.80879510786648,10.1691874563421
"EXOG",7.27789208034599,6.89029514715333,7.29904254313652,7.39102183734711,7.06292598369342,7.01072511637035,7.17717409063002,7.44550788874966
"NTAN1",8.12096892276672,8.33036301413623,8.1428663337261,7.72583593357395,8.3379445037621,8.23690941942495,8.41752004155413,7.988173876444
"NMNAT2",5.09439735961729,5.51269004255023,5.24256266185646,4.94989986190354,5.65209809812858,5.58901580394304,5.47999559492405,4.87787898653054
"ZFYVE9",9.5545486342615,9.53691093678832,9.59793940165767,9.58197057686607,9.55098024336064,9.46152450046465,9.50197836109615,9.5921675409585
"ATP2B2",7.4769974338988,8.33544772599904,8.29522566440718,9.1602628083301,6.9620414007851,6.92744141252949,7.10396656725572,8.89391405484975
"SLC6A1",4.7284726018727,4.71954271454748,5.24256266185646,4.43811816822074,4.96909915392414,4.93123230963083,4.51547646795001,4.73373263167366
"SMG1",12.2224546014772,12.2087225866327,12.2169732058389,12.1386686808625,12.3048488837523,12.3204628656849,12.3019844984351,12.065941956707
"FCHO2",9.69360793291638,10.0016125384672,9.92052537629128,10.0845703921742,10.0675692916302,9.96926913638358,10.1479506142426,9.99164162049269
"RBPMS",9.08221227922553,8.73592580875589,9.62155822169778,9.02565962482178,9.44697254346749,9.11833873312074,8.80985283487357,8.85563164194887
"TIMP4",4.87151524899425,5.47039381855673,4.98940233984402,4.69898113586104,4.89350180041912,5.1695781948637,4.83049851848729,4.54348460689285
"NRG1",5.75008272544634,5.38042926195634,7.16345940721263,5.08000002189057,5.84972415703493,5.65632902188842,5.28558976552428,5.19580343254775
"ODR4",9.08686297522342,8.84677049141024,8.89833747339923,8.85416557239805,9.00144234716523,8.81093660974194,8.92387386546103,8.92593600157612
"CPT2",8.42690123180932,8.65697957686373,8.16061733965847,8.60927396705559,8.41519363117531,8.17219778786482,8.39747823296035,8.44832228250256
"NECAP2",9.21770865881683,9.17592499272299,8.83356691559004,8.96256775734447,9.17224058417889,9.46981011538798,9.23517562307136,8.99548216547927
"LRP8",8.04630235495616,8.78871778995688,7.79398444956711,8.75122530033329,8.48402401953009,8.48645111207383,8.42413894772516,8.06229293457326
"PAXIP1",7.71938127066575,7.82936006030016,7.92461101738347,8.02649152774385,7.83152840724767,7.94057189601223,8.04458822885102,8.03310446288667
"STEAP2",6.27208229933464,6.57554410409696,7.33099262726368,7.56420576432689,6.51850074260533,6.11302644431738,6.78647272560976,7.40024483805143
"SSBP3",9.01791172161869,9.04881966234607,9.37351164503538,8.83079660920556,9.12136905403029,9.1340695741028,9.0467557882372,8.99799452162125
"CLDN12",9.10072561154872,9.04262570639066,8.76187898236645,8.7369260480848,9.17501477397098,9.39781557909286,9.62892755206332,9.03271475636864
"MMP14",11.128235425051,10.7866423132115,11.6722879628831,10.9978233054761,11.0779199314499,11.2707082831452,11.2177517390435,11.0329040850608
"FZD1",8.47032036425145,8.88536497142116,8.97373629487825,9.341167307257,8.50625342824113,8.43226792363655,8.74794702206791,8.93645358653932
