"","SRR19525013","SRR19525014","SRR19525015","SRR19525016","SRR19525017","SRR19525018"
"DRAM2",8.69502430958235,9.06672281446261,9.05375145143326,9.00653178558805,8.92915985462174,8.88952169545587
"CFAP418",6.55719921987797,6.8701963346265,6.92723329540564,7.16403951140193,6.84605080739152,6.71807432621679
"CFAP161",6.23851558145454,5.87483969334883,6.27335911947663,5.96964213222627,6.40856697788443,6.29437772125897
"ADAMTSL3",6.0321114246953,6.53259677522936,7.17665490614527,6.18651349764428,7.21829211023396,6.9243508007334
"WHAMM",8.39193788927789,8.18011621032225,8.3395460360153,8.39510676400237,8.40037734396597,7.94054722592164
"CXCL13",10.8629837465864,8.12779095513768,10.540014092831,10.5539337541575,9.66361802834711,9.22492710716329
"HEMK2",8.5320284916587,9.05849984477397,8.41615498605401,8.55139225326844,8.34875205344085,9.02506773198237
"RWDD2B",7.80174416988442,8.06783553128869,7.64058262641768,7.91025392730682,7.78208982316838,7.57901091081655
"USP16",10.2959711057418,9.76255501844045,10.1391952653523,9.93131806499869,10.1281352986784,9.89737903063485
"CCT8",10.380985402739,10.2375750860912,10.4581100967245,10.4454025114741,10.2918044367999,10.2057405148011
"MAP3K7CL",6.27325126389919,6.94004537258823,6.66136717206125,7.09581318303915,6.47304753943984,6.6850063238728
"BACH1",10.1092089927964,9.98186911758774,10.1074958767456,10.0733777437672,10.2003994667053,9.84561551179726
"CLDN8",6.4269794791961,6.59111622137068,6.49662356542122,6.3744351131183,6.97974585440493,6.26786160817755
"TSPAN7",6.60454313813928,6.85567952438861,6.51285366967605,6.65784012135635,7.02908134560771,7.24980699343655
"TIAM1",8.63207147129117,8.3581398142926,8.45952401817352,8.4081000317843,8.38764906193565,8.08774294040421
"SCAF4",9.81050162675062,9.4100015535165,9.65705674853624,9.83027344789923,9.65141714937359,9.54300618987618
"RPGR",8.8529775357868,9.2341446870855,9.52992036643157,9.87708555292639,9.2843386666765,9.19350244430956
"CDK20",7.81011323025365,7.94551718993381,8.00962772889644,7.89155776148795,8.03531711950427,8.0047712928083
"PCGF6",7.52237957236289,7.40408270869676,7.44722922482194,7.21807418634227,7.49415290383557,7.35694062174787
"ANKRD9",7.82669610629438,7.63876545978393,7.68764406704657,8.07335517083198,7.85941429196954,7.58683248280952
"SFR1",7.01792251245587,7.08004817203538,7.08690969619208,7.37654826633484,7.28832351159005,6.78118692224434
"SFXN2",8.10165719554427,8.3028660021078,8.51428282880685,8.66714316122342,8.48239294699624,8.33743143904354
"ATP5MJ",8.44547194025751,8.44565494743851,8.62363784362279,8.51592158443711,8.24410695570585,8.48603315631166
"TDRD9",6.53260561513384,6.88452322978599,5.71106914334723,6.52705110757604,6.72581870952948,6.43723939064018
"FGF18",6.77403525191075,7.00580323340013,6.93789554655773,6.77336783582519,6.77252498362266,6.45885359625319
"PCDH1",9.31558908549149,9.74394991286452,9.63997923447694,10.1792075386098,10.2122957877205,9.54300618987618
"SH3RF2",6.83105667648759,7.90216980518179,7.96337683731899,8.0058312088766,8.36617374476126,8.03856661557231
"UQCRB",10.0576206617377,10.1349823189829,10.3079174915652,9.95186781002191,9.99532050903339,9.99981027895836
"MTERF3",7.79332243307563,7.99341814712805,8.11041053383509,7.92257592396497,7.78870681907597,7.94651287333189
"PTDSS1",8.31336154040728,8.3581398142926,8.64682641987195,8.46304864164849,8.46233537443515,8.61670723884416
"PPP2R2B",6.27325126389919,5.97245147965224,5.77264204861429,5.87253291031351,5.80953474577351,6.00840414695321
"RPL30",11.1308816850798,10.941674875895,11.1664549534757,10.7683059787046,10.7449059109273,10.855892792519
"KCNS2",7.76773393734704,7.87676120461295,7.43324540988108,7.52557035926488,7.32662682850559,7.41172523077705
"PABIR3",7.33246238817642,7.69137314633586,7.39034583101089,7.56630033885626,7.72101010427952,7.77538922477753
"SUPV3L1",8.6366625276259,8.60202036274482,8.59708600374849,8.25322827574133,8.23937314582209,8.2965144538883
"PABIR2",8.73405971019473,9.05299136260988,9.03201310793348,8.88895859587855,9.04343412716844,8.98602651636235
"EEF1A1",16.1522625637292,16.1803328514115,16.1167561241405,15.8899390199129,16.0150453776743,15.8492771740812
"FBXO43",5.78177867117709,6.30394571634176,6.29450015488341,6.08775740248689,6.00450798510417,5.92066258899369
"HKDC1",8.11505156754591,7.92710940689463,7.99131552166892,7.94085116802711,7.82773582904411,7.45563586284992
"HK1",10.2916576805733,10.2033596049569,10.511406010882,10.3645780418877,10.3272381603088,10.1365256560761
"TYSND1",7.66014901561218,7.64641082043981,7.7105599696677,7.70322583146628,7.92659106109051,8.06610455858834
"PHF6",9.62380188362058,9.70074657528266,9.74618487310957,9.83027344789923,9.86414648917961,9.67983010348677
"CD109",8.98436413314351,9.41643411902061,9.17764422736667,9.10726025170731,9.23368856619251,8.62402846594182
"UBE2L6",8.97356666261734,8.60202036274482,8.96243261223651,8.83269737915125,8.7466709099973,8.5832821565708
"ZDHHC5",10.8444645093881,10.3800253474042,10.6319466054366,10.8680827594939,10.6414281686875,10.386917170866
"MED19",7.50144851481615,7.21585394727976,7.17665490614527,7.58224109824932,7.39988237902096,7.45563586284992
"ZFAND3",9.26643439370923,9.36857635370016,9.11910570535022,9.25920076486511,9.19086812980462,9.27196130908767
"NPTN",9.33814848473326,10.2662687288354,9.9572311173263,10.0326274660045,10.2680677916615,10.3557260348402
"KAT6B",10.8926975928198,11.1750243107395,11.0616176259344,10.9970937631492,10.9618044839759,11.1539768469575
"SAMD8",9.85800187938997,10.0767594550358,9.83760514070925,9.76704327695915,9.66535257037669,9.87932177198967
"RAB11FIP1",10.9375304724601,11.6599271944341,11.737314698656,11.9142834264136,12.0008465661615,11.1172760120631
"UTP14A",8.95172248782607,8.55573591069423,8.77586171733629,8.65995567823066,8.7132673331463,8.53355401392994
"AIFM1",9.11120356860513,9.0721785319496,9.35589969171925,9.16141375131538,9.04343412716844,9.32643167500599
"MAPK13",9.79023658532708,9.35970028157115,9.27694896863632,10.1553699108999,9.7013017508916,8.94297166321878
